order_month,payment_type,num_orders
1,UPI,1715
1,credit_card,6103
1,debit_card,118
1,voucher,477
2,UPI,1723
2,credit_card,6609
2,debit_card,82
2,voucher,424
3,UPI,1942
3,credit_card,7707
3,debit_card,109
3,voucher,591
4,UPI,1783
4,credit_card,7301
4,debit_card,124
4,voucher,572
5,UPI,2035
5,credit_card,8350
5,debit_card,81
5,voucher,613
6,UPI,1807
6,credit_card,7276
6,debit_card,209
6,voucher,563
7,UPI,2074
7,credit_card,7841
7,debit_card,264
7,voucher,645
8,UPI,2077
8,credit_card,8269
8,debit_card,311
8,not_defined,2
8,voucher,589
9,UPI,903
9,credit_card,3286
9,debit_card,43
9,not_defined,1
9,voucher,302
10,UPI,1056
10,credit_card,3778
10,debit_card,54
10,voucher,318
11,UPI,1509
11,credit_card,5897
11,debit_card,70
11,voucher,387
12,UPI,1160
12,credit_card,4378
12,debit_card,64
12,voucher,294
